"gamma","lambda_0","theta"
15.2381332932826,15.1020564896821,1.14124488305141
16.9573061385096,14.6885783608897,1.28076834004956
17.5219725065131,14.2806470468934,1.21732306692468
15.7853673500721,14.7111422852761,1.25587252501016
16.7718631090193,14.9118759979036,1.24688858323219
17.3392008680657,15.6790663752697,1.43380716590668
15.8106621500138,14.6827675438581,1.25101140392565
16.6913807736922,14.3843434099315,1.09886264667754
18.6872466480265,15.3326576029363,1.5705177199237
17.6029563772876,13.7270327224469,1.07891383757483
17.4903515399167,14.2997170923952,1.19378001375617
16.235702431738,14.9703531148403,1.3053672754067
17.1510056276808,13.9797374466118,1.17448994418029
18.313136242887,13.997005429043,1.18313609917043
16.528316009793,14.713399202403,1.29493074055695
16.2875357006898,14.7746296793949,1.22881095510491
17.4058512136933,14.2014049938462,1.26354689948988
15.7363311541461,14.7012290199942,1.20029145431692
16.7663178100755,14.7493686984885,1.28412695687791
16.1154204673001,14.6851799875674,1.16787886433107
18.642426732817,15.1409055537281,1.39296345194372
16.6072986923307,14.6095788978871,1.20732513123915
16.2033926959525,14.2571072704245,1.21277449019914
17.2893977442907,14.6964146354852,1.35051296116901
15.8653060512442,14.5732978590737,1.12261030854955
16.5729200635452,14.4557022901998,1.14000126848431
16.4421380049429,14.7808603348912,1.22312913340919
16.7647418764985,14.4690246196612,1.24222241890786
17.0464575792939,14.2977918630249,1.23597148012155
16.2489142296244,14.8583397550866,1.2477430039785
18.0620319306586,14.4960408589961,1.36078086400905
16.6043123829694,14.1239441798108,1.06262727324846
16.035138272184,14.8591839057963,1.26740313835327
17.5769085169566,14.1216011867649,1.21007665298105
16.4900448168506,15.2424212158828,1.41285868524721
18.3391801201658,14.4458116697405,1.28865232691327
18.1884847091252,13.9201966523276,1.23221669412228
16.7895873537696,14.7492188552709,1.24561370019779
18.0249421686317,15.4935204807392,1.44726759072593
16.7781120957267,14.6958523615233,1.30966205113074
15.9041529555366,14.7891765918852,1.24390592330412
16.3465551274372,14.6260853150518,1.24548133613897
15.5636806170617,14.8346543164158,1.19302241570894
16.712745998383,14.6073455160631,1.2152570741617
17.9528042226253,15.0427431321008,1.29992968079188
16.7931599544046,14.6360441512064,1.20828412259222
16.7411817010803,14.4481094233839,1.25461838702265
17.0115420967242,14.3259482320021,1.24318635655691
