"gamma","lambda_0","theta","ave_neg_lik"
0.763157894736842,1.31578947368421,0.5,0.333419336277281
0.81578947368421,1.31578947368421,0.5,0.332420750544594
0.868421052631579,1.31578947368421,0.5,0.331694677382436
0.921052631578947,1.31578947368421,0.5,0.331229998111701
0.973684210526316,1.31578947368421,0.5,0.331016286117619
1.02631578947368,1.31578947368421,0.5,0.3310437493657
1.07894736842105,1.31578947368421,0.5,0.331303178846342
1.13157894736842,1.31578947368421,0.5,0.331785902222174
1.18421052631579,1.31578947368421,0.5,0.332483742054578
1.23684210526316,1.31578947368421,0.5,0.333388978071895
1.28947368421053,1.31578947368421,0.5,0.334494313014571
1.34210526315789,1.31578947368421,0.5,0.335792841654053
1.39473684210526,1.31578947368421,0.5,0.337278022634709
1.44736842105263,1.31578947368421,0.5,0.338943652832713
1.5,1.31578947368421,0.5,0.340783843964162
0.5,1.42105263157895,0.5,0.329495058808507
0.552631578947368,1.42105263157895,0.5,0.327861351917761
0.605263157894737,1.42105263157895,0.5,0.326531212101147
0.657894736842105,1.42105263157895,0.5,0.3254913821005
0.710526315789474,1.42105263157895,0.5,0.324729488453294
0.763157894736842,1.42105263157895,0.5,0.324233962902604
0.81578947368421,1.42105263157895,0.5,0.323993972476914
0.868421052631579,1.42105263157895,0.5,0.323999357105514
0.921052631578947,1.42105263157895,0.5,0.324240573805889
0.973684210526316,1.42105263157895,0.5,0.324708646621325
1.02631578947368,1.42105263157895,0.5,0.325395121605216
1.07894736842105,1.42105263157895,0.5,0.326292026247706
1.13157894736842,1.42105263157895,0.5,0.327391832823688
1.18421052631579,1.42105263157895,0.5,0.328687425211605
1.23684210526316,1.42105263157895,0.5,0.330172068792167
1.28947368421053,1.42105263157895,0.5,0.331839383086913
1.34210526315789,1.42105263157895,0.5,0.333683316839833
1.39473684210526,1.42105263157895,0.5,0.335698125282394
1.44736842105263,1.42105263157895,0.5,0.337878349354174
1.5,1.42105263157895,0.5,0.340218796678744
0.5,1.52631578947368,0.5,0.320133948138385
0.552631578947368,1.52631578947368,0.5,0.319320817972017
0.605263157894737,1.52631578947368,0.5,0.318779660362971
0.657894736842105,1.52631578947368,0.5,0.318499189107889
0.710526315789474,1.52631578947368,0.5,0.318468834014734
0.763157894736842,1.52631578947368,0.5,0.318678680232208
0.81578947368421,1.52631578947368,0.5,0.319119413964518
0.868421052631579,1.52631578947368,0.5,0.319782273773624
0.921052631578947,1.52631578947368,0.5,0.320659006785891
0.973684210526316,1.52631578947368,0.5,0.321741829216226
1.02631578947368,1.52631578947368,0.5,0.323023390703772
1.07894736842105,1.52631578947368,0.5,0.324496742021522
1.13157894736842,1.52631578947368,0.5,0.3261553057802
1.18421052631579,1.52631578947368,0.5,0.32799284979602
1.23684210526316,1.52631578947368,0.5,0.330003462834011
1.28947368421053,1.52631578947368,0.5,0.332181532474609
1.34210526315789,1.52631578947368,0.5,0.334521724882179
1.39473684210526,1.52631578947368,0.5,0.337018966280747
1.44736842105263,1.52631578947368,0.5,0.3396684259653
1.5,1.52631578947368,0.5,0.3424655006969
0.5,1.63157894736842,0.5,0.314378652685248
0.552631578947368,1.63157894736842,0.5,0.314299627651617
0.605263157894737,1.63157894736842,0.5,0.314465683080188
0.657894736842105,1.63157894736842,0.5,0.31486713085735
0.710526315789474,1.63157894736842,0.5,0.315494869152006
0.763157894736842,1.63157894736842,0.5,0.316340334972031
0.81578947368421,1.63157894736842,0.5,0.317395461494595
0.868421052631579,1.63157894736842,0.5,0.318652639599454
0.921052631578947,1.63157894736842,0.5,0.320104683113009
0.973684210526316,1.63157894736842,0.5,0.321744797337388
1.02631578947368,1.63157894736842,0.5,0.323566550495142
1.07894736842105,1.63157894736842,0.5,0.325563847768078
1.13157894736842,1.63157894736842,0.5,0.327730907649661
1.18421052631579,1.63157894736842,0.5,0.330062240365449
1.23684210526316,1.63157894736842,0.5,0.332552628146129
1.28947368421053,1.63157894736842,0.5,0.335197107163634
1.34210526315789,1.63157894736842,0.5,0.337990950963236
1.39473684210526,1.63157894736842,0.5,0.34092965524392
1.44736842105263,1.63157894736842,0.5,0.344008923856182
1.5,1.63157894736842,0.5,0.347224655901122
0.5,1.73684210526316,0.5,0.311826725006911
0.552631578947368,1.73684210526316,0.5,0.312408382712861
0.605263157894737,1.73684210526316,0.5,0.313212039548703
0.657894736842105,1.73684210526316,0.5,0.314229316907793
0.710526315789474,1.73684210526316,0.5,0.315452320873249
0.763157894736842,1.73684210526316,0.5,0.316873604683611
0.81578947368421,1.73684210526316,0.5,0.318486134816339
0.868421052631579,1.73684210526316,0.5,0.32028326027432
0.921052631578947,1.73684210526316,0.5,0.322258684715432
0.973684210526316,1.73684210526316,0.5,0.324406441111889
1.02631578947368,1.73684210526316,0.5,0.326720868665939
1.07894736842105,1.73684210526316,0.5,0.329196591742607
1.13157894736842,1.73684210526316,0.5,0.331828500609495
1.18421052631579,1.73684210526316,0.5,0.33461173379891
1.23684210526316,1.73684210526316,0.5,0.337541661929418
1.28947368421053,1.73684210526316,0.5,0.340613872842821
1.34210526315789,1.73684210526316,0.5,0.343824157929
1.39473684210526,1.73684210526316,0.5,0.347168499525366
1.44736842105263,1.73684210526316,0.5,0.350643059290147
1.5,1.73684210526316,0.5,0.354244167459693
0.5,1.84210526315789,0.5,0.312140018395865
0.552631578947368,1.84210526315789,0.5,0.313319473870527
0.605263157894737,1.84210526315789,0.5,0.314700968591587
0.657894736842105,1.84210526315789,0.5,0.316277207302695
0.710526315789474,1.84210526315789,0.5,0.318041298955268
0.763157894736842,1.84210526315789,0.5,0.319986726698053
0.81578947368421,1.84210526315789,0.5,0.322107320642519
0.868421052631579,1.84210526315789,0.5,0.324397233098384
0.921052631578947,1.84210526315789,0.5,0.326850916012446
0.973684210526316,1.84210526315789,0.5,0.329463100377207
1.02631578947368,1.84210526315789,0.5,0.332228777404313
1.07894736842105,1.84210526315789,0.5,0.335143181282533
1.13157894736842,1.84210526315789,0.5,0.33820177336125
1.18421052631579,1.84210526315789,0.5,0.341400227618915
1.23684210526316,1.84210526315789,0.5,0.344734417291914
1.28947368421053,1.84210526315789,0.5,0.3482004025533
1.34210526315789,1.84210526315789,0.5,0.351794419142992
1.39473684210526,1.84210526315789,0.5,0.355512867861732
1.44736842105263,1.84210526315789,0.5,0.359352304850459
1.5,1.84210526315789,0.5,0.363309432584973
0.5,1.94736842105263,0.5,0.315031594827965
0.552631578947368,1.94736842105263,0.5,0.31675456795328
0.605263157894737,1.94736842105263,0.5,0.318662202067778
0.657894736842105,1.94736842105263,0.5,0.320748105977736
