"","s_10","s_20","s_30","s_40","gamma","lambda_0","theta"
"92",-0.973803985744777,-1.72694618888265,-2.01202565402574,-2.08831725090757,49.3333333333333,4.75,1.25
"93",-0.940512063386162,-1.71154217893468,-2.00245470567488,-2.08004136737008,51.6666666666667,4.75,1.25
"94",-0.906045310977885,-1.6949612487465,-1.99170718791178,-2.07058608428774,54,4.75,1.25
"95",-0.870488147273794,-1.67728799770615,-1.97986767340967,-2.06003622080823,56.3333333333333,4.75,1.25
"96",-0.833916070180569,-1.65859808288621,-1.96701179539171,-2.04846762715788,58.6666666666667,4.75,1.25
"97",-0.796396882161366,-1.63895944765294,-1.95320747584873,-2.03594841728295,61,4.75,1.25
"98",-0.757991710965405,-1.61843334503107,-1.93851594857692,-2.02253999552016,63.3333333333333,4.75,1.25
"99",-0.71875586555491,-1.59707519581247,-1.9229926170114,-2.00829791743511,65.6666666666667,4.75,1.25
"100",-0.678739558295199,-1.57493531256437,-1.90668777800179,-1.99327261609959,68,4.75,1.25
"101",-1.22258357105214,-1.69762527118313,-1.89244427276147,-1.94760865741419,12,5.33333333333333,1.25
"102",-1.23860823383322,-1.73165644724848,-1.93229325966412,-1.98891615139233,14.3333333333333,5.33333333333333,1.25
"103",-1.24694752857706,-1.75798159265788,-1.96443850398188,-2.02249116442862,16.6666666666667,5.33333333333333,1.25
"104",-1.24898712583414,-1.77799069556644,-1.99026960862399,-2.04972937554562,19,5.33333333333333,1.25
"105",-1.24576127060151,-1.79272112460491,-2.01082364574852,-2.07167223749711,21.3333333333333,5.33333333333333,1.25
"106",-1.23806370750208,-1.8029689533442,-2.02689645594384,-2.08911884700106,23.6666666666667,5.33333333333333,1.25
"107",-1.22651772582844,-1.80935925119568,-2.03911292224953,-2.10269656913964,26,5.33333333333333,1.25
"108",-1.21162225162231,-1.81239233350601,-2.04797320863215,-2.11290750030217,28.3333333333333,5.33333333333333,1.25
"109",-1.19378323545145,-1.81247525458197,-2.05388424479863,-2.12016010206648,30.6666666666667,5.33333333333333,1.25
"110",-1.173335655227,-1.80994388275823,-2.05718179532667,-2.12479137238474,33,5.33333333333333,1.25
"111",-1.15055932796855,-1.80507876306222,-2.0581463179499,-2.1270827755873,35.3333333333333,5.33333333333333,1.25
"112",-1.12569051980773,-1.79811676389136,-2.05701460694689,-2.12727193732731,37.6666666666667,5.33333333333333,1.25
"113",-1.0989306330198,-1.78925979099392,-2.05398850461435,-2.12556139385915,40,5.33333333333333,1.25
"114",-1.07045281510434,-1.77868141670101,-2.04924152855975,-2.12212524754461,42.3333333333333,5.33333333333333,1.25
"115",-1.04040706201127,-1.7665319984562,-2.04292398871216,-2.11711430525145,44.6666666666667,5.33333333333333,1.25
"116",-1.00892421125804,-1.75294268371766,-2.03516699102105,-2.11066009849454,47,5.33333333333333,1.25
"117",-0.97611910400838,-1.73802858122658,-2.02608560776188,-2.10287806654281,49.3333333333333,5.33333333333333,1.25
"118",-0.942093116338997,-1.72189129952183,-2.01578141527258,-2.09387010423751,51.6666666666667,5.33333333333333,1.25
"119",-0.906936205614595,-1.70462099909105,-2.0043445454705,-2.08372662153249,54,5.33333333333333,1.25
"120",-0.870728579837007,-1.68629806636657,-1.99185535932735,-2.07252822341558,56.3333333333333,5.33333333333333,1.25
"121",-0.833542070743962,-1.66699449059528,-1.97838582330788,-2.06034709157253,58.6666666666667,5.33333333333333,1.25
"122",-0.795441271870291,-1.64677500498474,-1.96400065015675,-2.04724812944363,61,5.33333333333333,1.25
"123",-0.756484488469244,-1.62569803916714,-1.94875825106117,-2.03328991790155,63.3333333333333,5.33333333333333,1.25
"124",-0.716724535589022,-1.60381651938573,-1.93271153558318,-2.01852551809781,65.6666666666667,5.33333333333333,1.25
"125",-0.676209412657847,-1.58117854484201,-1.91590858779134,-2.003003150026,68,5.33333333333333,1.25
"126",-1.24825471186617,-1.73207547546158,-1.92986475954656,-1.98554279381988,12,5.91666666666667,1.25
"127",-1.26074929206446,-1.76257349774779,-1.96618155541713,-2.02331423983239,14.3333333333333,5.91666666666667,1.25
"128",-1.26612769090466,-1.78593576478643,-1.99536469059854,-2.0539247438031,16.6666666666667,5.91666666666667,1.25
"129",-1.26563734723577,-1.80341368578997,-2.01866523575969,-2.07863097759458,19,5.91666666666667,1.25
"130",-1.26021713643735,-1.81594903696359,-2.03702470373562,-2.09837853239823,21.3333333333333,5.91666666666667,1.25
"131",-1.25059259189184,-1.82426953232947,-2.05117059966354,-2.11389796986236,23.6666666666667,5.91666666666667,1.25
"132",-1.23733675111135,-1.8289498878074,-2.06167747103292,-2.12576618363932,26,5.91666666666667,1.25
"133",-1.22091059159343,-1.83045239870251,-2.06900747538605,-2.13444716887092,28.3333333333333,5.91666666666667,1.25
