"gamma","lambda_0","theta","boundary","theta.hat","lambda.hat","s"
4,23.7255366235301,2.175903633927,1,2.1820068359375,25.756988656237,10
4,23.6280702050104,2.17261000507724,1,2.1820068359375,25.6866213174401,10
4,23.9494577698353,2.20328978509208,1,2.2125244140625,26.0325674882427,10
4,23.9759124393165,2.19208237868905,1,2.18963623046875,25.8423433406302,10
4,23.6525988605463,2.17558868508387,1,2.197265625,25.9333267182642,10
4,23.4412662586162,2.15713711425628,1,2.17437744140625,25.6804254062847,10
4,23.7052770054797,2.17382621208451,1,2.1820068359375,25.774660264908,10
4,24.0020577973676,2.19298914638756,1,2.197265625,25.9732036354386,10
4,23.73975756429,2.17272292904146,1,2.17056274414062,25.6308486081845,10
4,24.2225144113169,2.21967134055678,1,2.22396850585938,26.1917431287544,10
4,24.1177226193725,2.20946554659449,1,2.2125244140625,26.0382805708989,10
4,24.2655663870978,2.21720961543546,1,2.22015380859375,26.2245552569225,10
4,24.3215014389774,2.20519120946628,1,2.2125244140625,26.3326079385297,10
4,23.6524557089999,2.1691659907967,1,2.18963623046875,25.9156988799348,10
4,23.9435842683169,2.20344641833562,1,2.20870971679688,25.9575176945099,10
4,23.7954818270531,2.18014302723861,1,2.20108032226562,26.0738459312836,10
4,24.0854974756314,2.21391598860404,1,2.2125244140625,25.9848351829484,10
4,24.0342202334386,2.20018262957304,1,2.20489501953125,26.0653219788678,10
4,24.2815519668663,2.21685657065727,1,2.22015380859375,26.2548903005356,10
4,24.0831109691156,2.20702264269316,1,2.20489501953125,25.9196931279251,10
4,23.5510694815528,2.1667293499483,1,2.17437744140625,25.5872929737828,10
4,24.0641322049338,2.19387075148676,1,2.20489501953125,26.1290516518675,10
4,23.8071158724179,2.17904004548186,1,2.1820068359375,25.7893129662755,10
4,23.5695895666419,2.15958568274955,1,2.17437744140625,25.721051837504,10
4,23.733802270055,2.18017028096104,1,2.18582153320312,25.6919844640873,10
4,24.1159954113795,2.20457026513249,1,2.20108032226562,25.953447217368,10
4,23.5930212002184,2.15796584105147,1,2.17056274414062,25.6640480921729,10
4,24.0886951223022,2.20744160827693,1,2.21633911132812,26.1616015879053,10
4,24.0050542290956,2.19599624778044,1,2.20108032226562,26.0058877754665,10
4,23.6138670721973,2.15873842376158,1,2.17056274414062,25.715794348619,10
4,23.920953015254,2.19333961555935,1,2.20489501953125,26.0432612946099,10
4,23.9265543227084,2.20261191264495,1,2.21633911132812,26.0674578105983,10
4,23.9617573851915,2.18926875380579,1,2.197265625,26.0127026149702,10
4,23.4531168577456,2.16147529896586,1,2.17437744140625,25.584712079858,10
4,23.903900136215,2.19815308265341,1,2.20489501953125,25.9802268792213,10
4,23.9077379873166,2.19499622142783,1,2.19345092773438,25.7480219753586,10
4,23.5085188196403,2.16830931636831,1,2.18963623046875,25.7830205980996,10
4,24.2062096490871,2.21293707601877,1,2.22015380859375,26.2078286681201,10
4,23.2724272349409,2.14051932090772,1,2.15911865234375,25.4667160658632,10
4,23.8693659168986,2.18555914762201,1,2.19345092773438,25.8943847026635,10
4,23.9543361565734,2.19512667881125,1,2.20108032226562,25.9306605549444,10
4,23.695202571968,2.1810288755477,1,2.18963623046875,25.7605442226275,10
4,24.0623923486598,2.18965485258991,1,2.18963623046875,25.9302807672597,10
4,23.8248093603398,2.1796313040382,1,2.18963623046875,25.8888792120377,10
4,23.9083903466403,2.1863112734632,1,2.197265625,26.0232581922787,10
4,23.6212437197262,2.172142435038,1,2.17437744140625,25.594444647355,10
4,24.2546965908829,2.21207013294083,1,2.2125244140625,26.1610959286084,10
4,23.9184657719166,2.19954724758912,1,2.2125244140625,26.0540679130516,10
4,23.9300152989752,2.18570116615753,1,2.18963623046875,25.9084106907787,10
4,23.6664647973859,2.17899161860905,1,2.19345092773438,25.8342437856464,10
4,23.6913772709571,2.18071714375506,1,2.197265625,25.8340807982572,10
4,23.6690511811002,2.17322391425698,1,2.17819213867188,25.6894053499298,10
4,23.8111434346492,2.19497496352193,1,2.20489501953125,25.9237821464152,10
4,24.0966142907081,2.20541789391908,1,2.20870971679688,26.0584529000339,10
4,23.719047860365,2.18639434616934,1,2.20108032226562,25.9308494831601,10
