"gamma","lambda_0","theta","negLogLik"
38.8685714285714,4.62571428571428,1.25,-1.96839349935016
41.1314285714286,4.62571428571428,1.25,-1.95954178574184
43.3942857142857,4.62571428571428,1.25,-1.94872321128492
45.6571428571429,4.62571428571428,1.25,-1.93610915971694
47.92,4.62571428571428,1.25,-1.92184936533644
50.1828571428571,4.62571428571428,1.25,-1.90607543078855
52.4457142857143,4.62571428571428,1.25,-1.88890365569805
54.7085714285714,4.62571428571428,1.25,-1.87043733247755
56.9714285714286,4.62571428571428,1.25,-1.85076862569043
59.2342857142857,4.62571428571428,1.25,-1.82998012267419
61.4971428571428,4.62571428571428,1.25,-1.80814612226842
63.76,4.62571428571428,1.25,-1.78533371312371
66.0228571428571,4.62571428571428,1.25,-1.76160368161549
68.2857142857143,4.62571428571428,1.25,-1.73701128076122
70.5485714285714,4.62571428571428,1.25,-1.71160688497789
72.8114285714286,4.62571428571428,1.25,-1.68543655047936
75.0742857142857,4.62571428571428,1.25,-1.65854249721214
77.3371428571429,4.62571428571428,1.25,-1.63096352518272
79.6,4.62571428571428,1.25,-1.60273537563414
0.4,5.19142857142857,1.25,-1.28903889368096
2.66285714285714,5.19142857142857,1.25,-1.46536512830577
4.92571428571429,5.19142857142857,1.25,-1.59223827021711
7.18857142857143,5.19142857142857,1.25,-1.68787257460685
9.45142857142857,5.19142857142857,1.25,-1.76184353914029
11.7142857142857,5.19142857142857,1.25,-1.81984850220155
13.9771428571429,5.19142857142857,1.25,-1.86556837246927
16.24,5.19142857142857,1.25,-1.90152618838195
18.5028571428571,5.19142857142857,1.25,-1.92953036630117
20.7657142857143,5.19142857142857,1.25,-1.95092330845759
23.0285714285714,5.19142857142857,1.25,-1.96673001817422
25.2914285714286,5.19142857142857,1.25,-1.9777515597543
27.5542857142857,5.19142857142857,1.25,-1.98462631416518
29.8171428571429,5.19142857142857,1.25,-1.98787153343358
32.08,5.19142857142857,1.25,-1.98791236327809
34.3428571428571,5.19142857142857,1.25,-1.98510262599748
36.6057142857143,5.19142857142857,1.25,-1.97974002901738
38.8685714285714,5.19142857142857,1.25,-1.97207750759185
41.1314285714286,5.19142857142857,1.25,-1.96233182746268
43.3942857142857,5.19142857142857,1.25,-1.95069020758389
45.6571428571429,5.19142857142857,1.25,-1.9373154873146
47.92,5.19142857142857,1.25,-1.92235020692116
50.1828571428571,5.19142857142857,1.25,-1.90591986535762
52.4457142857143,5.19142857142857,1.25,-1.88813554723043
54.7085714285714,5.19142857142857,1.25,-1.86909606046922
56.9714285714286,5.19142857142857,1.25,-1.84888969043913
59.2342857142857,5.19142857142857,1.25,-1.82759565044274
61.4971428571428,5.19142857142857,1.25,-1.80528528973029
63.76,5.19142857142857,1.25,-1.78202310621902
66.0228571428571,5.19142857142857,1.25,-1.7578676007185
68.2857142857143,5.19142857142857,1.25,-1.73287200160034
70.5485714285714,5.19142857142857,1.25,-1.70708488285586
72.8114285714286,5.19142857142857,1.25,-1.68055069387194
75.0742857142857,5.19142857142857,1.25,-1.6533102156736
77.3371428571429,5.19142857142857,1.25,-1.62540095557961
79.6,5.19142857142857,1.25,-1.59685749000892
0.4,5.75714285714286,1.25,-1.36441143262036
2.66285714285714,5.75714285714286,1.25,-1.52186708047066
4.92571428571429,5.75714285714286,1.25,-1.63684998470592
7.18857142857143,5.75714285714286,1.25,-1.72419039310205
9.45142857142857,5.75714285714286,1.25,-1.79199149758016
11.7142857142857,5.75714285714286,1.25,-1.84519748002776
13.9771428571429,5.75714285714286,1.25,-1.8870603285232
16.24,5.75714285714286,1.25,-1.91983929480377
18.5028571428571,5.75714285714286,1.25,-1.94517088169197
20.7657142857143,5.75714285714286,1.25,-1.96428025041187
23.0285714285714,5.75714285714286,1.25,-1.97810947256724
25.2914285714286,5.75714285714286,1.25,-1.9873991581348
27.5542857142857,5.75714285714286,1.25,-1.99274249371997
29.8171428571429,5.75714285714286,1.25,-1.99462221256967
32.08,5.75714285714286,1.25,-1.99343660393158
34.3428571428571,5.75714285714286,1.25,-1.98951825638585
36.6057142857143,5.75714285714286,1.25,-1.98314785033128
38.8685714285714,5.75714285714286,1.25,-1.97456449536455
41.1314285714286,5.75714285714286,1.25,-1.96397360502903
43.3942857142857,5.75714285714286,1.25,-1.95155298317503
45.6571428571429,5.75714285714286,1.25,-1.93745758967731
47.92,5.75714285714286,1.25,-1.92182331614607
50.1828571428571,5.75714285714286,1.25,-1.90477000933199
52.4457142857143,5.75714285714286,1.25,-1.88640391574769
54.7085714285714,5.75714285714286,1.25,-1.86681967595482
56.9714285714286,5.75714285714286,1.25,-1.84610196481857
59.2342857142857,5.75714285714286,1.25,-1.82432685077856
61.4971428571428,5.75714285714286,1.25,-1.80156293014627
63.76,5.75714285714286,1.25,-1.77787227980384
66.0228571428571,5.75714285714286,1.25,-1.75331126220561
68.2857142857143,5.75714285714286,1.25,-1.72793120940711
70.5485714285714,5.75714285714286,1.25,-1.70177900735824
72.8114285714286,5.75714285714286,1.25,-1.67489759746223
75.0742857142857,5.75714285714286,1.25,-1.64732640910777
77.3371428571429,5.75714285714286,1.25,-1.61910173429744
79.6,5.75714285714286,1.25,-1.59025705345547
0.4,6.32285714285714,1.25,-1.43088567774464
2.66285714285714,6.32285714285714,1.25,-1.57236171198475
4.92571428571429,6.32285714285714,1.25,-1.6769509266775
7.18857142857143,6.32285714285714,1.25,-1.75689848713807
9.45142857142857,6.32285714285714,1.25,-1.8191264968947
11.7142857142857,6.32285714285714,1.25,-1.86795560621865
13.9771428571429,6.32285714285714,1.25,-1.90627472639121
16.24,6.32285714285714,1.25,-1.93611608121548
18.5028571428571,6.32285714285714,1.25,-1.95896629471187
20.7657142857143,6.32285714285714,1.25,-1.97594725132424
23.0285714285714,6.32285714285714,1.25,-1.98792734556507
25.2914285714286,6.32285714285714,1.25,-1.99559309636254
27.5542857142857,6.32285714285714,1.25,-1.99949700808039
29.8171428571429,6.32285714285714,1.25,-2.00009057951848
32.08,6.32285714285714,1.25,-1.99774768853145
34.3428571428571,6.32285714285714,1.25,-1.99278154625232
36.6057142857143,6.32285714285714,1.25,-1.98545723973432
38.8685714285714,6.32285714285714,1.25,-1.976001177173
41.1314285714286,6.32285714285714,1.25,-1.96460831354746
43.3942857142857,6.32285714285714,1.25,-1.95144775660241
45.6571428571429,6.32285714285714,1.25,-1.93666717158634
47.92,6.32285714285714,1.25,-1.92039628194104
50.1828571428571,6.32285714285714,1.25,-1.90274968053826
52.4457142857143,6.32285714285714,1.25,-1.88382910874599
54.7085714285714,6.32285714285714,1.25,-1.86372532017859
56.9714285714286,6.32285714285714,1.25,-1.8425196170348
59.2342857142857,6.32285714285714,1.25,-1.82028512591001
61.4971428571428,6.32285714285714,1.25,-1.79708786451558
63.76,6.32285714285714,1.25,-1.77298763924217
66.0228571428571,6.32285714285714,1.25,-1.74803880485906
68.2857142857143,6.32285714285714,1.25,-1.7222909110751
70.5485714285714,6.32285714285714,1.25,-1.69578925565197
72.8114285714286,6.32285714285714,1.25,-1.66857535986637
75.0742857142857,6.32285714285714,1.25,-1.64068737908122
77.3371428571429,6.32285714285714,1.25,-1.61216045879945
79.6,6.32285714285714,1.25,-1.58302704468567
0.4,6.88857142857143,1.25,-1.48993301103023
2.66285714285714,6.88857142857143,1.25,-1.61769990111782
4.92571428571429,6.88857142857143,1.25,-1.71312270743687
7.18857142857143,6.88857142857143,1.25,-1.78643545189551
9.45142857142857,6.88857142857143,1.25,-1.84360083105288
11.7142857142857,6.88857142857143,1.25,-1.88841831799657
13.9771428571429,6.88857142857143,1.25,-1.92346707313434
16.24,6.88857142857143,1.25,-1.9505826206232
18.5028571428571,6.88857142857143,1.25,-1.97112014496774
20.7657142857143,6.88857142857143,1.25,-1.98611007018373
23.0285714285714,6.88857142857143,1.25,-1.99635501514915
25.2914285714286,6.88857142857143,1.25,-2.00249288048924
27.5542857142857,6.88857142857143,1.25,-2.00503939261769
29.8171428571429,6.88857142857143,1.25,-2.0044176723266
32.08,6.88857142857143,1.25,-2.00097932183525
