"gamma","lambda_0","theta","ave_neg_lik","s"
0.85,2,0.1,0.993196568496579,1
0.925,2,0.1,1.0076988220905,1
1,2,0.1,1.0224694204776,1
1.075,2,0.1,1.03749715143904,1
1.15,2,0.1,1.0527715202168,1
1.225,2,0.1,1.06828268814716,1
1.3,2,0.1,1.08402141781614,1
1.375,2,0.1,1.09997902391361,1
1.45,2,0.1,1.11614732908285,1
1.525,2,0.1,1.13251862416203,1
1.6,2,0.1,1.14908563229815,1
1.675,2,0.1,1.16584147648502,1
1.75,2,0.1,1.18277965013637,1
1.825,2,0.1,1.19989399035658,1
1.9,2,0.1,1.21717865361442,1
0.1,2.15,0.1,0.907847590891536,1
0.175,2.15,0.1,0.919982796174015,1
0.25,2.15,0.1,0.932502925129063,1
0.325,2.15,0.1,0.945388159877144,1
0.4,2.15,0.1,0.958620243815811,1
0.475,2.15,0.1,0.972182317713863,1
0.55,2.15,0.1,0.986058777103061,1
0.625,2.15,0.1,1.00023514769499,1
0.7,2.15,0.1,1.01469797612721,1
0.775,2.15,0.1,1.02943473380537,1
0.85,2.15,0.1,1.04443373198163,1
0.925,2.15,0.1,1.05968404651286,1
1,2.15,0.1,1.07517545099021,1
1.075,2.15,0.1,1.09089835713472,1
1.15,2.15,0.1,1.10684376152179,1
1.225,2.15,0.1,1.12300319783628,1
1.3,2.15,0.1,1.13936869397618,1
1.375,2.15,0.1,1.15593273341937,1
1.45,2.15,0.1,1.17268822034986,1
1.525,2.15,0.1,1.18962844810818,1
1.6,2.15,0.1,1.20674707058887,1
1.675,2.15,0.1,1.22403807625746,1
1.75,2.15,0.1,1.24149576450112,1
1.825,2.15,0.1,1.25911472406338,1
1.9,2.15,0.1,1.27688981334416,1
0.1,2.3,0.1,0.954282755615622,1
0.175,2.3,0.1,0.967427790191708,1
0.25,2.3,0.1,0.980911926761136,1
0.325,2.3,0.1,0.994718728080406,1
0.4,2.3,0.1,1.00883297825759,1
0.475,2.3,0.1,1.02324056161807,1
0.55,2.3,0.1,1.03792835646362,1
0.625,2.3,0.1,1.05288414155652,1
0.7,2.3,0.1,1.0680965135225,1
0.775,2.3,0.1,1.08355481366108,1
0.85,2.3,0.1,1.0992490628923,1
0.925,2.3,0.1,1.11516990376632,1
1,2.3,0.1,1.13130854862539,1
1.075,2.3,0.1,1.1476567331428,1
1.15,2.3,0.1,1.16420667457593,1
1.225,2.3,0.1,1.18095103416481,1
1.3,2.3,0.1,1.19788288318644,1
1.375,2.3,0.1,1.21499567224212,1
1.45,2.3,0.1,1.23228320341118,1
1.525,2.3,0.1,1.24973960495267,1
1.6,2.3,0.1,1.26735930827721,1
1.675,2.3,0.1,1.28513702694645,1
1.75,2.3,0.1,1.30306773748722,1
1.825,2.3,0.1,1.32114666183355,1
1.9,2.3,0.1,1.33936925123178,1
0.1,2.45,0.1,1.00480843845328,1
0.175,2.45,0.1,1.01884450526567,1
0.25,2.45,0.1,1.03318157468414,1
0.325,2.45,0.1,1.04780586270163,1
0.4,2.45,0.1,1.06270455444214,1
0.475,2.45,0.1,1.0778657130749,1
0.55,2.45,0.1,1.0932781993561,1
0.625,2.45,0.1,1.10893160032761,1
0.7,2.45,0.1,1.12481616593644,1
0.775,2.45,0.1,1.14092275253024,1
0.85,2.45,0.1,1.15724277234303,1
0.925,2.45,0.1,1.1737681482166,1
1,2.45,0.1,1.19049127291248,1
1.075,2.45,0.1,1.20740497246115,1
1.15,2.45,0.1,1.22450247307182,1
1.225,2.45,0.1,1.24177737119115,1
1.3,2.45,0.1,1.25922360635427,1
1.375,2.45,0.1,1.27683543651783,1
1.45,2.45,0.1,1.2946074156049,1
1.525,2.45,0.1,1.31253437302525,1
1.6,2.45,0.1,1.330611394964,1
1.675,2.45,0.1,1.34883380725647,1
1.75,2.45,0.1,1.36719715968893,1
1.825,2.45,0.1,1.38569721158353,1
1.9,2.45,0.1,1.40432991854217,1
0.1,2.6,0.1,1.05894708033112,1
0.175,2.6,0.1,1.07377518502276,1
0.25,2.6,0.1,1.08887227228555,1
0.325,2.6,0.1,1.1042266695695,1
0.4,2.6,0.1,1.11982748312611,1
0.475,2.6,0.1,1.13566452845309,1
0.55,2.6,0.1,1.15172826846041,1
0.625,2.6,0.1,1.16800975834009,1
0.7,2.6,0.1,1.18450059627649,1
0.775,2.6,0.1,1.20119287926172,1
0.85,2.6,0.1,1.21807916338762,1
0.925,2.6,0.1,1.2351524280748,1
