"gamma","lambda_0","theta","nLL_s1","nLL_s2","nLL_s3","nLL_s5"
1.11842105263158,1.13157894736842,0.5,0.8698786649129,0.529270690532737,0.405671148357088,0.346511872059321
1.19736842105263,1.13157894736842,0.5,0.873805100687652,0.529380116493508,0.404885733931424,0.345649226611506
1.27631578947368,1.13157894736842,0.5,0.87828160108507,0.530042031205204,0.404651964581803,0.345339182568816
1.35526315789474,1.13157894736842,0.5,0.883277408217078,0.531225522963849,0.404938982907685,0.345550820362493
1.43421052631579,1.13157894736842,0.5,0.888764357878136,0.532902287694084,0.405718534169261,0.346255828810968
1.51315789473684,1.13157894736842,0.5,0.894716590461741,0.535046338235802,0.406964676156926,0.347428214312787
1.59210526315789,1.13157894736842,0.5,0.901110301545782,0.537633753530949,0.408653528878198,0.349044049953733
1.67105263157895,1.13157894736842,0.5,0.907923525734242,0.540642461259612,0.41076305762489,0.351081258074803
1.75,1.13157894736842,0.5,0.915135948527762,0.544052048666813,0.413272884173062,0.353519421040526
0.25,1.28947368421053,0.5,0.854642647800336,0.541105969605502,0.423425163909269,0.364985506672527
0.328947368421053,1.28947368421053,0.5,0.852390527653973,0.535004262423865,0.416440098270087,0.357909993784129
0.407894736842105,1.28947368421053,0.5,0.851123751326948,0.529892745519205,0.410443515650367,0.351824921017473
0.486842105263158,1.28947368421053,0.5,0.850766054772477,0.525694735954038,0.405358882018239,0.346653581419631
0.56578947368421,1.28947368421053,0.5,0.85125003157104,0.522342460096633,0.401118554275179,0.342328180572264
0.644736842105263,1.28947368421053,0.5,0.852515783695962,0.51977569620838,0.397662425734444,0.338788478627268
0.723684210526316,1.28947368421053,0.5,0.854509823141099,0.517940669454552,0.394936823475842,0.335980684878542
0.802631578947368,1.28947368421053,0.5,0.857184169943069,0.516789144525261,0.39289360288349,0.333856550030177
0.881578947368421,1.28947368421053,0.5,0.860495605535172,0.516277674544426,0.391489398134619,0.332372614819408
0.960526315789474,1.28947368421053,0.5,0.864405050114266,0.51636697475125,0.390684997192643,0.331489583464216
1.03947368421053,1.28947368421053,0.5,0.868877039877241,0.517021396659783,0.390444817062962,0.33117179763022
1.11842105263158,1.28947368421053,0.5,0.873879285330556,0.518208483783086,0.390736460439096,0.331386791994933
1.19736842105263,1.28947368421053,0.5,0.879382295904915,0.519898594062493,0.391530338911866,0.33210491654345
1.27631578947368,1.28947368421053,0.5,0.885359059173269,0.522064577228023,0.392799350993156,0.333299013816573
1.35526315789474,1.28947368421053,0.5,0.891784765326496,0.524681497686842,0.394518605571442,0.334944141704352
1.43421052631579,1.28947368421053,0.5,0.898636569387462,0.527726395374538,0.396665183250138,0.337017334216658
1.51315789473684,1.28947368421053,0.5,0.905893385071784,0.531178078440418,0.399217929453119,0.339497394099528
1.59210526315789,1.28947368421053,0.5,0.913535705328096,0.535016942769496,0.402157274310812,0.342364712297969
1.67105263157895,1.28947368421053,0.5,0.921545445482822,0.539224814241607,0.405465075236016,0.345601110164015
1.75,1.28947368421053,0.5,0.929905805627211,0.543784810345142,0.409124478814177,0.349189701026259
0.25,1.44736842105263,0.5,0.846140819393827,0.517453208954148,0.395930116078366,0.337267031030694
0.328947368421053,1.44736842105263,0.5,0.846435679978185,0.513907602431154,0.391498002257664,0.332747964526624
0.407894736842105,1.44736842105263,0.5,0.847542658153562,0.511178126117618,0.387880604597301,0.329045236136756
0.486842105263158,1.44736842105263,0.5,0.849404232861775,0.509206941682134,0.385020197543203,0.326100989217144
0.56578947368421,1.44736842105263,0.5,0.85196902066912,0.507942384368158,0.382865216344067,0.323863542964589
