"gamma","lambda_0","theta","theta.hat","lambda.hat"
0.1,2.30503202179734,0.1,0.946044921875,2.4953558450759
0.1,2.3183376299509,0.1,1.0223388671875,2.50691397270121
0.1,2.32722172923105,0.1,1.0528564453125,2.51607839231278
0.725421025644594,1.98731176333769,0.1,1.0986328125,2.50516894586081
0.1,2.32162580026052,0.1,0.9765625,2.5096793797643
0.744111879043417,1.9730283529211,0.1,0.946044921875,2.4836390839519
0.1,2.3027602392906,0.1,0.9613037109375,2.48951368779383
0.1,2.32940434412658,0.1,0.9613037109375,2.5190447664644
0.1,2.30368605411314,0.1,0.9765625,2.48918483376071
0.208408096630731,2.25205640200496,0.1,1.068115234375,2.50785677299221
0.676790163403075,2.00993078832572,0.1,0.9765625,2.49698288345258
0.756460328512411,1.97235639935959,0.1,0.946044921875,2.49710123856956
0.1,2.32054558504063,0.1,1.007080078125,2.50983223223965
0.1,2.3134758128495,0.1,0.946044921875,2.50128655519759
0.755079916665431,1.9692183236986,0.1,0.946044921875,2.4971149636667
0.608187027469464,2.04077416630186,0.1,1.0986328125,2.50117273720892
0.1,2.31247210328045,0.1,1.007080078125,2.50051295880437
0.1,2.31597804731117,0.1,0.9918212890625,2.50260418072902
0.75181314077943,1.97838481530618,0.1,0.9307861328125,2.50257945940799
0.662560780301391,2.03583240812448,0.1,1.0223388671875,2.51978719829916
0.415558968945926,2.16403750118005,0.1,0.9613037109375,2.50797314280089
0.301992613107403,2.20143444428046,0.1,0.9307861328125,2.49734196841949
0.1,2.32936145906707,0.1,1.03759765625,2.52045231422876
0.1,2.30826233373716,0.1,0.946044921875,2.49384125565044
0.828564675652538,1.96914946699041,0.1,0.9765625,2.52660343597415
0.731364273448651,1.98669051154725,0.1,1.03759765625,2.50435861892828
0.723931709387366,2.00088076527066,0.1,1.007080078125,2.50291103284864
0.424329399588072,2.13921928296557,0.1,0.9918212890625,2.50048042643868
0.1,2.3132319515686,0.1,0.9307861328125,2.49836182086706
0.596880900057807,2.0683983353531,0.1,1.007080078125,2.52079769039669
0.1,2.31389264221099,0.1,0.946044921875,2.50537482412438
0.1,2.30604685779006,0.1,0.9765625,2.49442696893287
0.198283819015262,2.26712283862329,0.1,0.9765625,2.51133219794434
0.496032600659629,2.09734574643242,0.1,0.91552734375,2.49126487093844
0.361732111651994,2.1635428959047,0.1,1.007080078125,2.49612769984396
0.1,2.31952337688137,0.1,1.03759765625,2.51228770264628
0.674247044451052,2.01437817516083,0.1,0.9307861328125,2.49979771434503
0.605325315465661,2.0286833741336,0.1,1.03759765625,2.4814103875986
0.712270898097198,1.98956210590063,0.1,1.007080078125,2.49569584867212
0.56042036464722,2.05163358244813,0.1,0.946044921875,2.48119783704721
0.342569076246191,2.21060852221405,0.1,1.007080078125,2.53154214137223
0.1,2.31776535249514,0.1,1.0528564453125,2.51000513677648
0.1,2.31786668109421,0.1,0.9765625,2.51147507069305
0.1,2.3223597118983,0.1,0.946044921875,2.50769839425525
0.728145386283374,1.98253309815656,0.1,0.946044921875,2.49273343738716
0.1,2.30692494882936,0.1,0.9765625,2.49340443861859
0.1,2.31405554119824,0.1,1.007080078125,2.50779653617747
0.1,2.30703244495892,0.1,0.8544921875,2.49150822462722
0.506796689492175,2.10901128575588,0.1,0.91552734375,2.49497292999379
0.387866666932837,2.1677435185733,0.1,0.946044921875,2.50999832516596
0.1,2.31009150070111,0.1,0.9918212890625,2.49945204829253
0.1,2.31237784250926,0.1,0.946044921875,2.49912840817934
0.440136279893197,2.12377415154942,0.1,0.946044921875,2.49066363435268
0.1,2.31217515250256,0.1,1.007080078125,2.50259009575464
0.397160377369626,2.16539340313288,0.1,1.03759765625,2.50301533764
0.422672095315249,2.13604074015838,0.1,0.9613037109375,2.49378060126926
0.1,2.29380525737987,0.1,1.068115234375,2.48802918399666
0.1,2.31108656505972,0.1,0.946044921875,2.49978329178318
0.1,2.29379207301591,0.1,1.068115234375,2.48461284053978
0.1,2.30855906903598,0.1,0.9765625,2.49883320154213
0.692570216577463,1.98711904449714,0.1,0.9765625,2.48132252077957
0.728968180678525,1.98958389814268,0.1,1.03759765625,2.50692060763087
0.831464186164688,1.94881677637085,0.1,1.007080078125,2.51192402470188
0.1,2.28616180184034,0.1,0.9307861328125,2.47707625182964
0.1,2.31884298824394,0.1,1.007080078125,2.50577490624335
0.570000806678534,2.07508420309376,0.1,1.007080078125,2.51154332684967
0.1,2.30337630031704,0.1,1.129150390625,2.50035800381145
0.764659808874549,1.98576833084173,0.1,0.8697509765625,2.50347169264881
0.649805492947683,2.03366512436365,0.1,0.9765625,2.49411796962624
0.1,2.31365186185817,0.1,0.91552734375,2.4994125420868
0.416645920892838,2.1540061676713,0.1,1.007080078125,2.49979891745407
0.544670692529783,2.06176172265557,0.1,0.9765625,2.48572838434496
0.506049975908449,2.07669933432716,0.1,1.068115234375,2.48192502556598
0.1,2.30115517043854,0.1,1.068115234375,2.49373825263097
0.1,2.31136088694561,0.1,0.91552734375,2.49812656313092
0.115903425273267,2.30548246560563,0.1,1.007080078125,2.50942334289758
0.1,2.29849825888847,0.1,1.007080078125,2.4879325401728
0.787546749115103,1.96090403001844,0.1,1.068115234375,2.50802632878339
0.1,2.30635794715645,0.1,1.0223388671875,2.49530728472399
0.1,2.30463898694511,0.1,1.03759765625,2.49793739555626
0.54745037899064,2.05354207639661,0.1,0.885009765625,2.4725184606926
0.514961461976051,2.10122352242091,0.1,1.0528564453125,2.50089845330362
0.437428465052447,2.14954305901685,0.1,1.0986328125,2.5211205533017
0.777547894055765,1.97217403158014,0.1,1.007080078125,2.51159628192335
0.1,2.29254755773287,0.1,0.91552734375,2.47709579819156
0.649713122838517,2.02907046213103,0.1,0.91552734375,2.50295543461509
0.1,2.31426327760951,0.1,1.007080078125,2.5003764981677
0.1,2.30363814100204,0.1,1.03759765625,2.49723198580406
0.459659965304466,2.11859702322529,0.1,0.91552734375,2.49365482276215
0.582175684548962,2.061423350522,0.1,1.007080078125,2.50200429327702
0.1,2.32972341494085,0.1,0.9765625,2.52128863523592
0.1,2.29532900122273,0.1,0.91552734375,2.48260207336369
0.1,2.2969887960478,0.1,0.91552734375,2.48264810894608
0.1,2.31363486649316,0.1,0.946044921875,2.49869066372446
0.1,2.32462594432768,0.1,1.0528564453125,2.51679823702311
0.674831820690317,2.02931844645937,0.1,0.9765625,2.52184007865332
0.206096238270262,2.27377774679965,0.1,1.068115234375,2.52596073999937
0.1,2.33058919977787,0.1,0.9765625,2.51844227199531
0.40854196541918,2.15249275461787,0.1,0.9613037109375,2.50654176848671
0.1,2.32645692517977,0.1,1.03759765625,2.51689942646069
0.393250226956962,2.15262186443539,0.1,0.9613037109375,2.49832251742442
0.1,2.31054834881631,0.1,0.9765625,2.49898090018394
0.1,2.30097141466051,0.1,1.03759765625,2.49101514669841
0.591662775626635,2.06203685122103,0.1,1.03759765625,2.51186767702835
0.391578491143722,2.16681780898837,0.1,0.9918212890625,2.51324936176251
0.732031159874917,1.98551113505498,0.1,1.03759765625,2.5021500356346
0.104096846102893,2.29165399736755,0.1,1.068115234375,2.49113689173139
0.1,2.32612329183768,0.1,1.007080078125,2.51581549771758
0.1,2.30773542056239,0.1,0.9765625,2.49507500421394
0.1,2.31768356275647,0.1,0.946044921875,2.50253586470621
0.1,2.34177379930703,0.1,0.9765625,2.52955519984001
0.646786649371805,2.01641119919601,0.1,1.007080078125,2.4928767087441
0.828392214799055,1.94421352588436,0.1,0.946044921875,2.49920383840227
0.1,2.31817791774442,0.1,0.946044921875,2.50367092949452
0.757316015179366,1.96022129450134,0.1,1.0223388671875,2.49068235596936
0.639759273850603,2.04137128027701,0.1,1.0986328125,2.50425876505911
0.1,2.29446336541449,0.1,0.9765625,2.4861505935288
0.1,2.31989801317731,0.1,1.0223388671875,2.51373901965854
0.1,2.29214576437068,0.1,1.007080078125,2.47962361866808
0.1,2.30333565356985,0.1,1.068115234375,2.49747858387574
0.1,2.30743208737547,0.1,1.007080078125,2.50262009925153
0.1,2.33771326578383,0.1,0.946044921875,2.5262152341554
0.454305724935598,2.13305847183312,0.1,1.068115234375,2.4984466212914
0.340729784514535,2.1661677405987,0.1,0.9918212890625,2.4801557289918
0.1,2.3105410687925,0.1,1.0833740234375,2.50817468233512
0.1,2.29933900752746,0.1,0.946044921875,2.49050730360814
0.145636544662857,2.28190162030403,0.1,1.03759765625,2.50396426546036
0.490023616859885,2.1003205223766,0.1,1.03759765625,2.4969648704717
0.109105467445746,2.28418127420112,0.1,1.007080078125,2.48236071364914
0.1,2.28978727542566,0.1,0.9613037109375,2.4790294247135
0.5069827335964,2.1077594823832,0.1,1.0223388671875,2.51316978910519
0.684852920318017,1.99139423168163,0.1,0.9613037109375,2.48263463595278
0.671637324336688,1.99930970130025,0.1,0.9613037109375,2.48153812579523
0.1,2.31770563854271,0.1,1.007080078125,2.50825223167386
0.790937017599542,1.95659524749719,0.1,1.007080078125,2.49912834750629
0.1,2.31159800587284,0.1,1.007080078125,2.50351156751746
0.1,2.30599746307982,0.1,1.007080078125,2.50290112376554
0.595826763199095,2.0575339814086,0.1,1.007080078125,2.50780936838844
0.734253008280652,2.00942123838636,0.1,1.068115234375,2.53020468499877
0.427316023523879,2.13385619845943,0.1,1.03759765625,2.50064511281286
0.218693597932215,2.24870452694814,0.1,1.0986328125,2.50202529525638
0.1,2.30642310191714,0.1,0.9765625,2.49281349533876
0.1,2.30715264745995,0.1,1.007080078125,2.50018229492119
0.1,2.32250389856858,0.1,1.0223388671875,2.51755696199357
0.131950226740681,2.29277007991701,0.1,0.9765625,2.50286565465661
0.1,2.3011457672273,0.1,1.0223388671875,2.49257522662618
0.1,2.32832385155287,0.1,0.9918212890625,2.5221050866343
0.176333558670067,2.24505555791134,0.1,1.03759765625,2.47932914804816
0.355401792680827,2.16994230171269,0.1,1.0223388671875,2.49703375340286
0.487400521344287,2.11481635203545,0.1,0.9765625,2.50898717637599
0.698741216278638,2.01948676412322,0.1,1.068115234375,2.51021877343778
0.1,2.32270758866045,0.1,0.9765625,2.50997357067119
0.1,2.30853469603994,0.1,0.9918212890625,2.49820807485198
0.1,2.32379321858677,0.1,1.007080078125,2.51206490700811
0.816225165971078,1.93358827570176,0.1,0.946044921875,2.49082964505168
0.755977384820242,1.96841462178519,0.1,0.946044921875,2.49347398424893
0.596892292671368,2.04304332024035,0.1,1.0528564453125,2.49406350442922
