"gamma","lambda_0","theta","...4"
0.802631578947368,1.44736842105263,0.5,0.863443800025794
0.881578947368421,1.44736842105263,0.5,0.868403101556928
0.960526315789474,1.44736842105263,0.5,0.873875202949987
1.03947368421053,1.44736842105263,0.5,0.879831720782513
1.11842105263158,1.44736842105263,0.5,0.88624664944974
1.19736842105263,1.44736842105263,0.5,0.893096097360322
1.27631578947368,1.44736842105263,0.5,0.900358059207718
1.35526315789474,1.44736842105263,0.5,0.90801221850112
1.43421052631579,1.44736842105263,0.5,0.916039775612364
1.51315789473684,1.44736842105263,0.5,0.924423297446442
1.59210526315789,1.44736842105263,0.5,0.933146585523368
1.67105263157895,1.44736842105263,0.5,0.942194559806077
1.75,1.44736842105263,0.5,0.951553156051509
0.25,1.60526315789474,0.5,0.847840269518081
0.328947368421053,1.60526315789474,0.5,0.850238478189401
0.407894736842105,1.60526315789474,0.5,0.853317601773264
0.486842105263158,1.60526315789474,0.5,0.857033184490175
0.56578947368421,1.60526315789474,0.5,0.861345157560942
0.644736842105263,1.60526315789474,0.5,0.866217267730382
0.723684210526316,1.60526315789474,0.5,0.8716165971987
0.802631578947368,1.60526315789474,0.5,0.877513157793417
0.881578947368421,1.60526315789474,0.5,0.8838795458878
0.960526315789474,1.60526315789474,0.5,0.89069064736869
1.03947368421053,1.60526315789474,0.5,0.897923384106597
1.11842105263158,1.60526315789474,0.5,0.905556495048387
1.19736842105263,1.60526315789474,0.5,0.913570346356631
1.27631578947368,1.60526315789474,0.5,0.921946766047106
1.35526315789474,1.60526315789474,0.5,0.930668899391438
1.43421052631579,1.60526315789474,0.5,0.939721082003553
1.51315789473684,1.60526315789474,0.5,0.949088728052806
1.59210526315789,1.60526315789474,0.5,0.958758231470775
1.67105263157895,1.60526315789474,0.5,0.968716878363965
1.75,1.60526315789474,0.5,0.978952769127069
0.25,1.76315789473684,0.5,0.857944801253196
0.328947368421053,1.76315789473684,0.5,0.862109520516123
0.407894736842105,1.76315789473684,0.5,0.866853390487865
0.486842105263158,1.76315789473684,0.5,0.872141341842393
0.56578947368421,1.76315789473684,0.5,0.877941524102333
0.644736842105263,1.76315789473684,0.5,0.88422491463301
0.723684210526316,1.76315789473684,0.5,0.890964986095534
0.802631578947368,1.76315789473684,0.5,0.898137422073762
0.881578947368421,1.76315789473684,0.5,0.905719872655832
0.960526315789474,1.76315789473684,0.5,0.913691743353216
1.03947368421053,1.76315789473684,0.5,0.922034011993347
1.11842105263158,1.76315789473684,0.5,0.930729069209496
1.19736842105263,1.76315789473684,0.5,0.939760578935647
1.27631578947368,1.76315789473684,0.5,0.94911335594066
1.35526315789474,1.76315789473684,0.5,0.958773257940261
1.43421052631579,1.76315789473684,0.5,0.968727090233254
1.51315789473684,1.76315789473684,0.5,0.978962521140519
1.59210526315789,1.76315789473684,0.5,0.989468006797075
1.67105263157895,1.76315789473684,0.5,1.00023272407109
1.75,1.76315789473684,0.5,1.01124651056849
0.25,1.92105263157895,0.5,0.875095354382791
0.328947368421053,1.92105263157895,0.5,0.880764764582722
0.407894736842105,1.92105263157895,0.5,0.886932800600373
0.486842105263158,1.92105263157895,0.5,0.893571310568592
0.56578947368421,1.92105263157895,0.5,0.900654557780874
0.644736842105263,1.92105263157895,0.5,0.908158945858172
0.723684210526316,1.92105263157895,0.5,0.916062782488456
0.802631578947368,1.92105263157895,0.5,0.92434607535602
0.881578947368421,1.92105263157895,0.5,0.932990355085597
0.960526315789474,1.92105263157895,0.5,0.941978520978477
